 04TZ      41.3835      79.4448    1272.4282      35.0000
 AKAH      41.2216      79.6747    1177.1915      35.0000
 AKKP      40.5039      79.0355    1114.4769      39.0000
 AKTM      41.4238      79.9596    1194.6404      61.0000
 AKYA      41.5520      79.1630    2087.7262      22.0000
 KZAH      40.9416      78.4515    1959.9943      18.0000
 WUSH      41.2023      79.2098    1395.3000      25.0000
 XJF2      40.5039      79.0355    1121.3817      39.0000
